invoice_id,subscription_id,customer_id,product_id,invoice_date,billing_start_date,billing_end_date,amount_usd,country,school_id,subscription_type,subscription_status,use_case,billing_frequency
inv_0000541,sub_000013,cust_00013,prod_005,2023-06-01,2023-06-01,2023-06-30,-92.97,united kingdom,sch_00013,pro,cancelled,b2c_course_sellers,quarterly
inv_0000356,sub_000014,cust_00014,prod_004,2023-04-01,2023-04-01,2023-04-30,99.0,spain,sch_00014,pro,cancelled,customer_training,monthly
inv_0000357,sub_000015,cust_00015,prod_008,2023-04-01,2023-04-01,2023-06-30,852.0,brazil,sch_00015,learning_center,cancelled,customer_training,quarterly
inv_0000255,sub_000016,cust_00016,prod_009,2023-03-01,2023-03-01,2023-12-31,-2505.01,france,sch_00016,learning_center,cancelled,customer_training,annual
inv_0000648,sub_000017,cust_00017,prod_004,2023-07-01,2023-07-01,2023-07-31,99.0,india,sch_00017,pro,cancelled,customer_training,monthly
inv_0000749,sub_000018,cust_00018,prod_001,2023-08-01,2023-08-01,2023-08-31,29.0,spain,sch_00018,starter,cancelled,customer_training,monthly
inv_0000442,sub_000019,cust_00019,prod_002,2023-05-01,2023-05-01,2023-06-30,-54.3,brazil,sch_00019,starter,cancelled,government_ngos,quarterly
inv_0000650,sub_000020,cust_00020,prod_005,2023-07-01,2023-07-01,2023-09-30,282.0,australia,sch_00020,pro,cancelled,b2c_course_sellers,quarterly
inv_0000178,sub_000021,cust_00021,prod_004,2023-02-01,2023-02-01,2023-02-28,99.0,united states,sch_00021,pro,cancelled,b2c_course_sellers,monthly
inv_0000632,sub_000022,cust_00022,prod_006,2023-07-01,2023-07-01,2023-12-31,-477.9,netherlands,sch_00022,pro,cancelled,b2b_course_sellers,annual
inv_0000435,sub_000023,cust_00023,prod_002,2023-05-01,2023-05-01,2023-06-30,-54.3,spain,sch_00023,starter,cancelled,customer_training,quarterly
inv_0000024,sub_000024,cust_00024,prod_009,2023-01-01,2023-01-01,2023-12-31,2988.0,united states,sch_00024,learning_center,cancelled,b2b_course_sellers,annual
inv_0001022,sub_000025,cust_00025,prod_004,2023-11-01,2023-11-01,2023-11-30,99.0,canada,sch_00025,pro,cancelled,customer_training,monthly
inv_0000180,sub_000026,cust_00026,prod_001,2023-02-01,2023-02-01,2023-02-28,29.0,spain,sch_00026,starter,cancelled,customer_training,monthly
inv_0000027,sub_000027,cust_00027,prod_009,2023-01-01,2023-01-01,2023-12-31,2988.0,brazil,sch_00027,learning_center,cancelled,customer_training,annual
inv_0000565,sub_000028,cust_00028,prod_007,2023-06-01,2023-06-01,2023-06-30,299.0,france,sch_00028,learning_center,cancelled,customer_training,monthly
inv_0000849,sub_000029,cust_00029,prod_004,2023-09-01,2023-09-01,2023-09-30,99.0,brazil,sch_00029,pro,cancelled,government_ngos,monthly
inv_0000474,sub_000030,cust_00030,prod_001,2023-05-01,2023-05-01,2023-05-31,29.0,australia,sch_00030,starter,cancelled,b2c_course_sellers,monthly
inv_0002206,sub_000031,cust_00031,prod_003,2024-11-01,2024-11-01,2024-12-31,-48.0,united kingdom,sch_00031,starter,cancelled,corporate_training,annual
inv_0000346,sub_000032,cust_00032,prod_009,2023-04-01,2023-04-01,2023-12-31,-2251.23,brazil,sch_00032,learning_center,cancelled,b2c_course_sellers,annual
inv_0000626,sub_000033,cust_00033,prod_006,2023-07-01,2023-07-01,2023-12-31,-477.9,germany,sch_00033,pro,cancelled,government_ngos,annual
inv_0000758,sub_000034,cust_00034,prod_007,2023-08-01,2023-08-01,2023-08-31,299.0,france,sch_00034,learning_center,cancelled,b2c_course_sellers,monthly
inv_0001781,sub_000035,cust_00035,prod_004,2024-07-01,2024-07-01,2024-07-31,99.0,australia,sch_00035,pro,cancelled,government_ngos,monthly
inv_0000852,sub_000036,cust_00036,prod_004,2023-09-01,2023-09-01,2023-09-30,99.0,united kingdom,sch_00036,pro,cancelled,b2b_course_sellers,monthly
inv_0000570,sub_000037,cust_00037,prod_004,2023-06-01,2023-06-01,2023-06-30,99.0,france,sch_00037,pro,cancelled,b2b_course_sellers,monthly
inv_0000372,sub_000038,cust_00038,prod_004,2023-04-01,2023-04-01,2023-04-30,99.0,united kingdom,sch_00038,pro,cancelled,customer_training,monthly
inv_0000572,sub_000039,cust_00039,prod_001,2023-06-01,2023-06-01,2023-06-30,29.0,spain,sch_00039,starter,cancelled,government_ngos,monthly
inv_0000440,sub_000040,cust_00040,prod_003,2023-05-01,2023-05-01,2023-12-31,-193.32,india,sch_00040,starter,cancelled,corporate_training,annual
inv_0000374,sub_000041,cust_00041,prod_001,2023-04-01,2023-04-01,2023-04-30,29.0,netherlands,sch_00041,starter,cancelled,b2b_course_sellers,monthly
inv_0000042,sub_000042,cust_00042,prod_001,2023-01-01,2023-01-01,2023-01-31,29.0,netherlands,sch_00042,starter,cancelled,corporate_training,monthly
inv_0001675,sub_000043,cust_00043,prod_007,2024-06-01,2024-06-01,2024-06-30,299.0,united kingdom,sch_00043,learning_center,cancelled,corporate_training,monthly
inv_0000243,sub_000044,cust_00044,prod_006,2023-03-01,2023-03-01,2023-12-31,-794.76,united kingdom,sch_00044,pro,cancelled,b2c_course_sellers,annual
inv_0000045,sub_000045,cust_00045,prod_001,2023-01-01,2023-01-01,2023-01-31,29.0,netherlands,sch_00045,starter,cancelled,customer_training,monthly
inv_0000534,sub_000046,cust_00046,prod_006,2023-06-01,2023-06-01,2023-12-31,-555.81,united kingdom,sch_00046,pro,cancelled,government_ngos,annual
inv_0000437,sub_000047,cust_00047,prod_002,2023-05-01,2023-05-01,2023-06-30,-54.3,brazil,sch_00047,starter,cancelled,b2b_course_sellers,quarterly
inv_0000048,sub_000048,cust_00048,prod_009,2023-01-01,2023-01-01,2023-12-31,2988.0,germany,sch_00048,learning_center,cancelled,corporate_training,annual
inv_0001206,sub_000049,cust_00049,prod_006,2024-01-01,2024-01-01,2024-12-31,948.0,united states,sch_00049,pro,cancelled,corporate_training,annual
inv_0000483,sub_000050,cust_00050,prod_001,2023-05-01,2023-05-01,2023-05-31,29.0,spain,sch_00050,starter,cancelled,corporate_training,monthly
inv_0001272,sub_000051,cust_00051,prod_005,2024-02-01,2024-02-01,2024-03-31,-185.93,brazil,sch_00051,pro,cancelled,corporate_training,quarterly
inv_0000052,sub_000052,cust_00052,prod_001,2023-01-01,2023-01-01,2023-01-31,29.0,united states,sch_00052,starter,cancelled,government_ngos,monthly
inv_0000053,sub_000053,cust_00053,prod_001,2023-01-01,2023-01-01,2023-01-31,29.0,united states,sch_00053,starter,cancelled,corporate_training,monthly
inv_0001004,sub_000054,cust_00054,prod_006,2023-11-01,2023-11-01,2023-12-31,-158.43,germany,sch_00054,pro,cancelled,government_ngos,annual
inv_0000666,sub_000055,cust_00055,prod_001,2023-07-01,2023-07-01,2023-07-31,29.0,india,sch_00055,starter,cancelled,b2c_course_sellers,monthly
inv_0000154,sub_000056,cust_00056,prod_006,2023-02-01,2023-02-01,2023-12-31,-867.48,india,sch_00056,pro,cancelled,government_ngos,annual
inv_0000157,sub_000057,cust_00057,prod_005,2023-02-01,2023-02-01,2023-03-31,-184.87,netherlands,sch_00057,pro,cancelled,government_ngos,quarterly
inv_0000941,sub_000058,cust_00058,prod_004,2023-10-01,2023-10-01,2023-10-31,99.0,canada,sch_00058,pro,cancelled,customer_training,monthly
inv_0000195,sub_000059,cust_00059,prod_001,2023-02-01,2023-02-01,2023-02-28,29.0,canada,sch_00059,starter,cancelled,customer_training,monthly
inv_0000165,sub_000060,cust_00060,prod_009,2023-02-01,2023-02-01,2023-12-31,-2734.22,united states,sch_00060,learning_center,cancelled,government_ngos,annual
inv_0000163,sub_000061,cust_00061,prod_009,2023-02-01,2023-02-01,2023-12-31,-2734.22,united kingdom,sch_00061,learning_center,cancelled,b2c_course_sellers,annual
inv_0000286,sub_000062,cust_00062,prod_004,2023-03-01,2023-03-01,2023-03-31,99.0,australia,sch_00062,pro,cancelled,b2c_course_sellers,monthly
inv_0000386,sub_000063,cust_00063,prod_001,2023-04-01,2023-04-01,2023-04-30,29.0,brazil,sch_00063,starter,cancelled,customer_training,monthly
inv_0001643,sub_000064,cust_00064,prod_006,2024-06-01,2024-06-01,2024-12-31,-554.3,brazil,sch_00064,pro,cancelled,government_ngos,annual
inv_0000722,sub_000065,cust_00065,prod_002,2023-08-01,2023-08-01,2023-09-30,-53.71,germany,sch_00065,starter,cancelled,b2b_course_sellers,quarterly
inv_0001370,sub_000066,cust_00066,prod_008,2024-03-01,2024-03-01,2024-03-31,-290.24,germany,sch_00066,learning_center,cancelled,customer_training,quarterly
inv_0000453,sub_000067,cust_00067,prod_005,2023-05-01,2023-05-01,2023-06-30,-189.03,france,sch_00067,pro,cancelled,customer_training,quarterly
inv_0000943,sub_000068,cust_00068,prod_004,2023-10-01,2023-10-01,2023-10-31,99.0,united states,sch_00068,pro,cancelled,corporate_training,monthly
inv_0000772,sub_000069,cust_00069,prod_007,2023-08-01,2023-08-01,2023-08-31,299.0,australia,sch_00069,learning_center,cancelled,customer_training,monthly
inv_0000491,sub_000070,cust_00070,prod_001,2023-05-01,2023-05-01,2023-05-31,29.0,netherlands,sch_00070,starter,cancelled,b2b_course_sellers,monthly
inv_0000145,sub_000071,cust_00071,prod_003,2023-02-01,2023-02-01,2023-12-31,-263.54,germany,sch_00071,starter,cancelled,b2b_course_sellers,annual
inv_0000072,sub_000072,cust_00072,prod_008,2023-01-01,2023-01-01,2023-03-31,852.0,germany,sch_00072,learning_center,cancelled,b2c_course_sellers,quarterly
inv_0001893,sub_000073,cust_00073,prod_001,2024-08-01,2024-08-01,2024-08-31,29.0,united states,sch_00073,starter,cancelled,b2c_course_sellers,monthly
inv_0000159,sub_000074,cust_00074,prod_005,2023-02-01,2023-02-01,2023-03-31,-184.87,australia,sch_00074,pro,cancelled,corporate_training,quarterly
inv_0001099,sub_000075,cust_00075,prod_008,2023-12-01,2023-12-01,2023-12-31,-287.09,france,sch_00075,learning_center,cancelled,b2c_course_sellers,quarterly
inv_0001581,sub_000076,cust_00076,prod_007,2024-05-01,2024-05-01,2024-05-31,299.0,australia,sch_00076,learning_center,cancelled,b2c_course_sellers,monthly
inv_0000898,sub_000077,cust_00077,prod_003,2023-10-01,2023-10-01,2023-12-31,-72.59,united kingdom,sch_00077,starter,cancelled,b2b_course_sellers,annual
inv_0000203,sub_000078,cust_00078,prod_007,2023-02-01,2023-02-01,2023-02-28,299.0,spain,sch_00078,learning_center,cancelled,customer_training,monthly
inv_0000343,sub_000079,cust_00079,prod_009,2023-04-01,2023-04-01,2023-12-31,-2251.23,france,sch_00079,learning_center,cancelled,b2c_course_sellers,annual
inv_0000204,sub_000080,cust_00080,prod_001,2023-02-01,2023-02-01,2023-02-28,29.0,united kingdom,sch_00080,starter,cancelled,customer_training,monthly
inv_0000081,sub_000081,cust_00081,prod_004,2023-01-01,2023-01-01,2023-01-31,99.0,brazil,sch_00081,pro,cancelled,b2b_course_sellers,monthly
inv_0000328,sub_000082,cust_00082,prod_003,2023-04-01,2023-04-01,2023-12-31,-216.99,germany,sch_00082,starter,cancelled,customer_training,annual
inv_0000397,sub_000083,cust_00083,prod_002,2023-04-01,2023-04-01,2023-06-30,81.0,australia,sch_00083,starter,cancelled,customer_training,quarterly
inv_0000250,sub_000084,cust_00084,prod_006,2023-03-01,2023-03-01,2023-12-31,-794.76,united kingdom,sch_00084,pro,cancelled,government_ngos,annual
inv_0000398,sub_000085,cust_00085,prod_001,2023-04-01,2023-04-01,2023-04-30,29.0,netherlands,sch_00085,starter,cancelled,government_ngos,monthly
inv_0000399,sub_000086,cust_00086,prod_007,2023-04-01,2023-04-01,2023-04-30,299.0,france,sch_00086,learning_center,cancelled,corporate_training,monthly
inv_0000400,sub_000087,cust_00087,prod_002,2023-04-01,2023-04-01,2023-06-30,81.0,australia,sch_00087,starter,cancelled,customer_training,quarterly
inv_0001796,sub_000088,cust_00088,prod_004,2024-07-01,2024-07-01,2024-07-31,99.0,canada,sch_00088,pro,cancelled,customer_training,monthly
inv_0000089,sub_000089,cust_00089,prod_004,2023-01-01,2023-01-01,2023-01-31,99.0,canada,sch_00089,pro,cancelled,b2c_course_sellers,monthly
inv_0000951,sub_000090,cust_00090,prod_002,2023-10-01,2023-10-01,2023-12-31,81.0,netherlands,sch_00090,starter,cancelled,b2c_course_sellers,quarterly
inv_0000208,sub_000091,cust_00091,prod_004,2023-02-01,2023-02-01,2023-02-28,99.0,brazil,sch_00091,pro,cancelled,customer_training,monthly
inv_0000779,sub_000092,cust_00092,prod_001,2023-08-01,2023-08-01,2023-08-31,29.0,india,sch_00092,starter,cancelled,customer_training,monthly
inv_0000093,sub_000093,cust_00093,prod_004,2023-01-01,2023-01-01,2023-01-31,99.0,france,sch_00093,pro,cancelled,corporate_training,monthly
inv_0000450,sub_000094,cust_00094,prod_006,2023-05-01,2023-05-01,2023-12-31,-636.33,germany,sch_00094,pro,cancelled,b2b_course_sellers,annual
inv_0000095,sub_000095,cust_00095,prod_002,2023-01-01,2023-01-01,2023-03-31,81.0,india,sch_00095,starter,cancelled,b2b_course_sellers,quarterly
inv_0000831,sub_000096,cust_00096,prod_009,2023-09-01,2023-09-01,2023-12-31,-998.73,canada,sch_00096,learning_center,cancelled,b2c_course_sellers,annual
inv_0000870,sub_000097,cust_00097,prod_001,2023-09-01,2023-09-01,2023-09-30,29.0,spain,sch_00097,starter,cancelled,b2b_course_sellers,monthly
inv_0000334,sub_000098,cust_00098,prod_006,2023-04-01,2023-04-01,2023-12-31,-714.25,india,sch_00098,pro,cancelled,corporate_training,annual
inv_0000686,sub_000099,cust_00099,prod_004,2023-07-01,2023-07-01,2023-07-31,99.0,united states,sch_00099,pro,cancelled,corporate_training,monthly
inv_0000143,sub_000100,cust_00100,prod_003,2023-02-01,2023-02-01,2023-12-31,-263.54,brazil,sch_00100,starter,cancelled,b2b_course_sellers,annual
inv_0000247,sub_000101,cust_00101,prod_006,2023-03-01,2023-03-01,2023-12-31,-794.76,united kingdom,sch_00101,pro,cancelled,b2c_course_sellers,annual
inv_0000544,sub_000102,cust_00102,prod_008,2023-06-01,2023-06-01,2023-06-30,-280.88,brazil,sch_00102,learning_center,cancelled,customer_training,quarterly
inv_0000457,sub_000103,cust_00103,prod_009,2023-05-01,2023-05-01,2023-12-31,-2005.64,india,sch_00103,learning_center,cancelled,government_ngos,annual
inv_0000161,sub_000104,cust_00104,prod_006,2023-02-01,2023-02-01,2023-12-31,-867.48,spain,sch_00104,pro,cancelled,corporate_training,annual
inv_0000105,sub_000105,cust_00105,prod_006,2023-01-01,2023-01-01,2023-12-31,948.0,canada,sch_00105,pro,cancelled,corporate_training,annual
inv_0000955,sub_000106,cust_00106,prod_004,2023-10-01,2023-10-01,2023-10-31,99.0,united kingdom,sch_00106,pro,cancelled,customer_training,monthly
inv_0000303,sub_000107,cust_00107,prod_001,2023-03-01,2023-03-01,2023-03-31,29.0,brazil,sch_00107,starter,cancelled,b2c_course_sellers,monthly
inv_0000689,sub_000108,cust_00108,prod_001,2023-07-01,2023-07-01,2023-07-31,29.0,germany,sch_00108,starter,cancelled,b2c_course_sellers,monthly
inv_0000215,sub_000109,cust_00109,prod_001,2023-02-01,2023-02-01,2023-02-28,29.0,brazil,sch_00109,starter,cancelled,corporate_training,monthly
inv_0000110,sub_000110,cust_00110,prod_003,2023-01-01,2023-01-01,2023-12-31,288.0,netherlands,sch_00110,starter,cancelled,b2b_course_sellers,annual
inv_0000638,sub_000111,cust_00111,prod_009,2023-07-01,2023-07-01,2023-12-31,-1506.28,netherlands,sch_00111,learning_center,cancelled,b2b_course_sellers,annual
inv_0002374,sub_000112,cust_00112,prod_007,2024-12-01,2024-12-01,2024-12-31,299.0,netherlands,sch_00112,learning_center,active,government_ngos,monthly
inv_0001138,sub_000113,cust_00113,prod_004,2023-12-01,2023-12-01,2023-12-31,99.0,india,sch_00113,pro,cancelled,corporate_training,monthly
inv_0000114,sub_000114,cust_00114,prod_001,2023-01-01,2023-01-01,2023-01-31,29.0,united states,sch_00114,starter,cancelled,customer_training,monthly
inv_0000115,sub_000115,cust_00115,prod_006,2023-01-01,2023-01-01,2023-12-31,948.0,germany,sch_00115,pro,cancelled,b2c_course_sellers,annual
inv_0001313,sub_000116,cust_00116,prod_007,2024-02-01,2024-02-01,2024-02-29,299.0,netherlands,sch_00116,learning_center,cancelled,government_ngos,monthly
inv_0000508,sub_000117,cust_00117,prod_004,2023-05-01,2023-05-01,2023-05-31,99.0,netherlands,sch_00117,pro,cancelled,corporate_training,monthly
inv_0000961,sub_000118,cust_00118,prod_001,2023-10-01,2023-10-01,2023-10-31,29.0,australia,sch_00118,starter,cancelled,corporate_training,monthly
inv_0000147,sub_000119,cust_00119,prod_003,2023-02-01,2023-02-01,2023-12-31,-263.54,netherlands,sch_00119,starter,cancelled,corporate_training,annual
inv_0000417,sub_000120,cust_00120,prod_001,2023-04-01,2023-04-01,2023-04-30,29.0,united states,sch_00120,starter,cancelled,government_ngos,monthly
inv_0001229,sub_000121,cust_00121,prod_003,2024-01-01,2024-01-01,2024-12-31,288.0,france,sch_00121,starter,cancelled,b2b_course_sellers,annual
inv_0000122,sub_000122,cust_00122,prod_005,2023-01-01,2023-01-01,2023-03-31,282.0,united states,sch_00122,pro,cancelled,b2c_course_sellers,quarterly
inv_0000257,sub_000123,cust_00123,prod_008,2023-03-01,2023-03-01,2023-03-31,-293.47,france,sch_00123,learning_center,cancelled,corporate_training,quarterly
inv_0000124,sub_000124,cust_00124,prod_005,2023-01-01,2023-01-01,2023-03-31,282.0,france,sch_00124,pro,cancelled,customer_training,quarterly
inv_0000311,sub_000125,cust_00125,prod_004,2023-03-01,2023-03-01,2023-03-31,99.0,india,sch_00125,pro,cancelled,b2b_course_sellers,monthly
inv_0000126,sub_000126,cust_00126,prod_004,2023-01-01,2023-01-01,2023-01-31,99.0,canada,sch_00126,pro,cancelled,government_ngos,monthly
inv_0001054,sub_000127,cust_00127,prod_001,2023-11-01,2023-11-01,2023-11-30,29.0,netherlands,sch_00127,starter,cancelled,b2c_course_sellers,monthly
inv_0000990,sub_000128,cust_00128,prod_002,2023-11-01,2023-11-01,2023-12-31,-53.71,france,sch_00128,starter,cancelled,customer_training,quarterly
inv_0000736,sub_000129,cust_00129,prod_008,2023-08-01,2023-08-01,2023-09-30,-564.91,united kingdom,sch_00129,learning_center,cancelled,b2b_course_sellers,quarterly
inv_0000313,sub_000130,cust_00130,prod_001,2023-03-01,2023-03-01,2023-03-31,29.0,australia,sch_00130,starter,cancelled,government_ngos,monthly
inv_0001234,sub_000131,cust_00131,prod_004,2024-01-01,2024-01-01,2024-01-31,99.0,netherlands,sch_00131,pro,cancelled,b2b_course_sellers,monthly
inv_0000702,sub_000132,cust_00132,prod_004,2023-07-01,2023-07-01,2023-07-31,99.0,spain,sch_00132,pro,cancelled,b2c_course_sellers,monthly
inv_0000423,sub_000133,cust_00133,prod_005,2023-04-01,2023-04-01,2023-06-30,282.0,canada,sch_00133,pro,cancelled,government_ngos,quarterly
inv_0000703,sub_000134,cust_00134,prod_004,2023-07-01,2023-07-01,2023-07-31,99.0,india,sch_00134,pro,cancelled,customer_training,monthly
inv_0001236,sub_000135,cust_00135,prod_009,2024-01-01,2024-01-01,2024-12-31,2988.0,united kingdom,sch_00135,learning_center,cancelled,corporate_training,annual
inv_0000317,sub_000136,cust_00136,prod_001,2023-03-01,2023-03-01,2023-03-31,29.0,india,sch_00136,starter,cancelled,corporate_training,monthly
inv_0001318,sub_000137,cust_00137,prod_001,2024-02-01,2024-02-01,2024-02-29,29.0,australia,sch_00137,starter,cancelled,corporate_training,monthly
inv_0000530,sub_000138,cust_00138,prod_003,2023-06-01,2023-06-01,2023-12-31,-168.85,australia,sch_00138,starter,cancelled,government_ngos,annual
inv_0000230,sub_000139,cust_00139,prod_004,2023-02-01,2023-02-01,2023-02-28,99.0,united states,sch_00139,pro,cancelled,b2c_course_sellers,monthly
inv_0000237,sub_000140,cust_00140,prod_002,2023-03-01,2023-03-01,2023-03-31,-27.9,spain,sch_00140,starter,cancelled,b2c_course_sellers,quarterly
inv_0001209,sub_000141,cust_00053,prod_004,2024-01-01,2024-01-01,2024-01-31,99.0,united states,sch_00053,pro,cancelled,corporate_training,monthly
inv_0000480,sub_000142,cust_00042,prod_004,2023-05-01,2023-05-01,2023-05-31,99.0,netherlands,sch_00042,pro,cancelled,corporate_training,monthly
inv_0000628,sub_000143,cust_00100,prod_006,2023-07-01,2023-07-01,2024-01-31,-558.41,brazil,sch_00100,pro,cancelled,b2b_course_sellers,annual
inv_0000817,sub_000144,cust_00071,prod_006,2023-09-01,2023-09-01,2024-01-31,-397.38,germany,sch_00071,pro,cancelled,b2b_course_sellers,annual
inv_0000621,sub_000145,cust_00119,prod_006,2023-07-01,2023-07-01,2024-01-31,-558.41,netherlands,sch_00119,pro,cancelled,corporate_training,annual
inv_0000149,sub_000146,cust_00114,prod_004,2023-02-01,2023-02-01,2023-02-28,99.0,united states,sch_00114,pro,cancelled,customer_training,monthly
inv_0000484,sub_000147,cust_00052,prod_004,2023-05-01,2023-05-01,2023-05-31,99.0,united states,sch_00052,pro,cancelled,government_ngos,monthly
inv_0000482,sub_000148,cust_00045,prod_004,2023-05-01,2023-05-01,2023-05-31,99.0,netherlands,sch_00045,pro,cancelled,customer_training,monthly
inv_0000582,sub_000149,cust_00081,prod_007,2023-06-01,2023-06-01,2023-06-30,299.0,brazil,sch_00081,learning_center,cancelled,b2b_course_sellers,monthly
inv_0000498,sub_000150,cust_00093,prod_007,2023-05-01,2023-05-01,2023-05-31,299.0,france,sch_00093,learning_center,cancelled,corporate_training,monthly
inv_0001299,sub_000151,cust_00056,prod_009,2024-02-01,2024-02-01,2025-01-31,2988.0,india,sch_00056,learning_center,active,government_ngos,annual
inv_0000680,sub_000152,cust_00089,prod_007,2023-07-01,2023-07-01,2023-07-31,299.0,canada,sch_00089,learning_center,cancelled,b2c_course_sellers,monthly
inv_0001096,sub_000153,cust_00057,prod_008,2023-12-01,2023-12-01,2024-01-31,-574.17,netherlands,sch_00057,learning_center,cancelled,government_ngos,quarterly
inv_0000160,sub_000154,cust_00074,prod_002,2023-02-01,2023-02-01,2023-04-30,81.0,australia,sch_00074,starter,cancelled,corporate_training,quarterly
inv_0000332,sub_000155,cust_00104,prod_003,2023-04-01,2023-04-01,2024-01-31,-241.45,spain,sch_00104,starter,cancelled,corporate_training,annual
inv_0000164,sub_000156,cust_00061,prod_006,2023-02-01,2023-02-01,2024-01-31,948.0,united kingdom,sch_00061,pro,cancelled,b2c_course_sellers,annual
inv_0000536,sub_000157,cust_00060,prod_006,2023-06-01,2023-06-01,2024-01-31,-636.33,united states,sch_00060,pro,cancelled,government_ngos,annual
inv_0001146,sub_000158,cust_00141,prod_004,2023-12-01,2023-12-01,2023-12-31,99.0,canada,sch_00141,pro,cancelled,b2b_course_sellers,monthly
inv_0002379,sub_000159,cust_00142,prod_004,2024-12-01,2024-12-01,2024-12-31,99.0,brazil,sch_00142,pro,active,b2c_course_sellers,monthly
inv_0001063,sub_000160,cust_00143,prod_002,2023-11-01,2023-11-01,2024-01-31,81.0,canada,sch_00143,starter,cancelled,government_ngos,quarterly
inv_0000321,sub_000161,cust_00144,prod_007,2023-03-01,2023-03-01,2023-03-31,299.0,canada,sch_00144,learning_center,cancelled,b2c_course_sellers,monthly
inv_0001103,sub_000162,cust_00002,prod_004,2023-12-01,2023-12-01,2023-12-31,99.0,brazil,sch_00002,pro,cancelled,government_ngos,monthly
inv_0000236,sub_000163,cust_00009,prod_004,2023-03-01,2023-03-01,2023-03-31,99.0,india,sch_00009,pro,cancelled,government_ngos,monthly
inv_0000238,sub_000164,cust_00140,prod_005,2023-03-01,2023-03-01,2023-05-31,282.0,spain,sch_00140,pro,cancelled,b2c_course_sellers,quarterly
inv_0000239,sub_000165,cust_00026,prod_004,2023-03-01,2023-03-01,2023-03-31,99.0,spain,sch_00026,pro,cancelled,customer_training,monthly
inv_0001189,sub_000166,cust_00007,prod_004,2024-01-01,2024-01-01,2024-01-31,99.0,australia,sch_00007,pro,cancelled,customer_training,monthly
inv_0000385,sub_000167,cust_00059,prod_004,2023-04-01,2023-04-01,2023-04-30,99.0,canada,sch_00059,pro,cancelled,customer_training,monthly
inv_0000242,sub_000168,cust_00109,prod_004,2023-03-01,2023-03-01,2023-03-31,99.0,brazil,sch_00109,pro,cancelled,corporate_training,monthly
inv_0000548,sub_000169,cust_00044,prod_009,2023-06-01,2023-06-01,2024-02-29,-2236.92,united kingdom,sch_00044,learning_center,cancelled,b2c_course_sellers,annual
inv_0000245,sub_000170,cust_00114,prod_007,2023-03-01,2023-03-01,2023-03-31,299.0,united states,sch_00114,learning_center,cancelled,customer_training,monthly
inv_0000404,sub_000171,cust_00091,prod_007,2023-04-01,2023-04-01,2023-04-30,299.0,brazil,sch_00091,learning_center,cancelled,customer_training,monthly
inv_0001407,sub_000172,cust_00101,prod_009,2024-03-01,2024-03-01,2025-02-28,2988.0,united kingdom,sch_00101,learning_center,active,b2c_course_sellers,annual
inv_0001192,sub_000173,cust_00021,prod_007,2024-01-01,2024-01-01,2024-01-31,299.0,united states,sch_00021,learning_center,cancelled,b2c_course_sellers,monthly
inv_0001084,sub_000174,cust_00084,prod_003,2023-12-01,2023-12-01,2024-02-29,-71.61,united kingdom,sch_00084,starter,cancelled,government_ngos,annual
inv_0000252,sub_000175,cust_00139,prod_001,2023-03-01,2023-03-01,2023-03-31,29.0,united states,sch_00139,starter,cancelled,b2c_course_sellers,monthly
inv_0001376,sub_000176,cust_00008,prod_005,2024-03-01,2024-03-01,2024-05-31,282.0,brazil,sch_00008,pro,cancelled,corporate_training,quarterly
